,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY
941,Co-op,330000,3,1.0,2184.207862,Queens
943,Co-op,619000,2,2.0,1200.0,Brooklyn
948,Co-op,800000,2,2.0,2184.207862,Queens
954,Co-op,300000,3,1.0,1200.0,Brooklyn
967,Co-op,265000,2,1.0,1100.0,Brooklyn
994,Co-op,279000,2,1.0,2184.207862,Queens
995,Condo,479000,2,2.0,1008.0,Staten Island
999,Co-op,450000,3,2.0,1026.0,Queens
1007,Co-op,378000,2,1.0,2184.207862,Queens
1009,Co-op,149000,1,1.0,2184.207862,Queens
1012,Co-op,195000,1,1.0,2184.207862,Queens
1021,Co-op,445000,3,2.0,2184.207862,Queens
1032,Co-op,329000,1,1.0,750.0,Brooklyn
1041,Condo,275000,1,1.0,850.0,Brooklyn
1043,Condo,568000,2,1.0,550.0,Brooklyn
1045,Condo,568000,2,1.0,550.0,Brooklyn
1055,Co-op,169000,1,1.0,680.0,Brooklyn
1065,Condo,509000,3,1.0,2184.207862,Queens
1070,Co-op,269000,1,1.0,2184.207862,Queens
1076,Co-op,329000,1,1.0,2184.207862,Queens
1082,Co-op,169999,2,1.0,2184.207862,Queens
1083,Co-op,439000,1,1.0,950.0,Staten Island
1085,Co-op,448000,3,1.0,2184.207862,Queens
1091,Condo,2700000,3,3.0,1398.0,Brooklyn
1095,Condo,750000,2,2.0,995.0,Queens
1104,Co-op,519999,3,2.0,1100.0,Queens
1116,Co-op,319000,2,1.0,925.0,Queens
1123,Co-op,255000,1,1.0,750.0,Brooklyn
1128,Condo,450000,2,1.0,2184.207862,Queens
1141,Condo,1300000,2,2.0,1100.0,Brooklyn
1142,Co-op,310000,2,1.0,675.0,Queens
1145,Co-op,239900,1,1.0,585.0,Queens
1146,Co-op,257000,3,1.0,450.0,Brooklyn
1147,Condo,1090000,2,2.0,1860.0,Queens
1156,Condo,1090000,2,2.0,1860.0,Queens
1169,Co-op,269000,1,1.0,700.0,Queens
1176,Condo,789000,2,2.0,1230.0,Brooklyn
1195,Co-op,259000,1,1.0,2184.207862,Queens
1210,Co-op,119888,1,1.0,2184.207862,Queens
1217,Condo,499000,3,2.0,1156.0,Queens
1221,Co-op,315000,2,1.0,850.0,Brooklyn
1232,Co-op,659000,1,1.0,440.0,Brooklyn
1236,Co-op,398000,3,2.0,1571.0,Queens
1249,Co-op,719000,3,2.0,1440.0,Queens
1252,Condo,4250000,3,4.0,2054.0,Manhattan
1264,Co-op,325000,2,1.0,2184.207862,Queens
1273,Co-op,680000,1,1.0,2184.207862,Brooklyn
1274,Co-op,258888,1,1.0,650.0,Brooklyn
1284,Co-op,349000,1,1.0,1017.0,Queens
1287,Condo,569000,2,2.0,2184.207862,Queens
1288,Condo,238000,1,1.0,650.0,Staten Island
1293,Condo,472000,1,1.0,700.0,Queens
1296,Condo,472000,1,1.0,700.0,Queens
1301,Co-op,210000,2,1.0,1000.0,Queens
1304,Multi-family,1799000,3,1.0,5400.0,Staten Island
1310,Co-op,299999,2,2.0,1300.0,Queens
1313,Co-op,200000,1,1.0,2184.207862,Queens
1316,Co-op,299999,2,2.0,1300.0,Queens
1317,Condo,599000,2,2.0,1095.0,Brooklyn
1325,Co-op,232500,1,1.0,2184.207862,Queens
1330,Co-op,430000,2,1.0,2184.207862,Queens
1336,Co-op,100000,3,1.0,512.0,Queens
1337,Co-op,299000,1,1.0,2184.207862,Queens
1338,Condo,625000,2,2.0,995.0,Queens
1340,Co-op,699999,3,2.0,2184.207862,Brooklyn
1346,Co-op,270000,1,1.0,2184.207862,Brooklyn
1347,Condo,625000,2,1.0,825.0,Queens
1352,Condo,979000,3,2.0,1272.0,Brooklyn
1360,Co-op,245000,2,1.0,900.0,Brooklyn
1372,Condo,719000,3,2.0,2184.207862,Queens
1373,Co-op,169000,3,1.0,2184.207862,Queens
1380,Condo,558000,1,1.0,751.0,Brooklyn
1383,Condo,399900,2,2.0,853.0,Staten Island
1387,Condo,255500,1,1.0,950.0,Staten Island
1394,Co-op,220000,1,1.0,500.0,Brooklyn
1398,Co-op,399000,2,2.0,1050.0,Brooklyn
1400,Co-op,129000,3,1.0,2184.207862,Queens
1401,Co-op,329000,1,1.0,2184.207862,Queens
1405,Co-op,560000,2,2.0,2184.207862,Queens
1408,Co-op,129000,3,1.0,2184.207862,Queens
1409,Co-op,888000,3,2.0,1600.0,Queens
1413,Condo,1078000,3,2.0,2184.207862,Queens
1416,Co-op,293900,1,1.0,2184.207862,Queens
1422,Co-op,150000,3,1.0,600.0,Queens
1423,Condo,354900,2,1.0,673.0,Brooklyn
1428,Condo,624999,3,2.0,2184.207862,Brooklyn
1435,Co-op,250000,2,1.0,2184.207862,Queens
1443,Condo,785000,2,2.0,968.0,Brooklyn
1449,Condo,1700000,2,2.0,1580.0,Brooklyn
1450,Co-op,339000,1,1.0,1085.0,Brooklyn
1457,Condo,575000,3,2.0,877.0,Queens
1462,Co-op,175000,3,1.0,2184.207862,Brooklyn
1472,Co-op,480000,2,1.0,2184.207862,Queens
1476,Co-op,285000,1,1.0,750.0,Brooklyn
1479,Co-op,729000,2,2.0,1700.0,Queens
1480,Co-op,199999,1,1.0,2184.207862,Queens
1485,Condo,725000,3,2.0,1185.0,Brooklyn
1492,Co-op,319000,2,1.0,2184.207862,Queens
1496,Condo,455000,2,1.0,939.0,Staten Island
1497,Co-op,319000,2,1.0,2184.207862,Queens
1502,Condo,849000,3,2.0,1241.0,Brooklyn
1504,Co-op,650000,3,1.0,2184.207862,Brooklyn
1506,Condo,495000,2,1.0,800.0,Queens
1517,Co-op,174000,1,1.0,800.0,Brooklyn
1524,Condo,575000,2,2.0,1253.0,Queens
1528,Co-op,1295000,2,2.0,2100.0,Brooklyn
1533,Co-op,209900,1,1.0,780.0,Brooklyn
1534,Co-op,539000,1,1.0,2184.207862,Brooklyn
1547,Condo,680000,2,2.0,1058.0,Queens
1550,Condo,845000,3,2.0,2184.207862,Queens
1552,Co-op,899000,2,2.0,1300.0,Brooklyn
1555,Co-op,169000,1,1.0,850.0,Queens
1557,Co-op,695000,2,2.0,2184.207862,Queens
1560,Co-op,169000,1,1.0,850.0,Queens
1566,Co-op,335000,1,1.0,756.0,Brooklyn
1568,Condo,1495000,2,2.0,1098.0,Brooklyn
1576,Condo,568000,2,2.0,1253.0,Queens
1582,Co-op,169000,1,1.0,2184.207862,Queens
1592,Co-op,335000,3,2.0,2184.207862,Queens
1593,Co-op,549000,3,1.0,1200.0,Brooklyn
1597,Condo,9500000,4,4.0,3655.0,Brooklyn
1602,Condo,599000,2,2.0,2184.207862,Queens
1603,Co-op,225000,1,1.0,2184.207862,Queens
1610,Condo,1100000,2,1.0,807.0,Brooklyn
1615,Condo,549000,3,2.0,2184.207862,Queens
1623,Co-op,230000,1,1.0,2184.207862,Queens
1633,Co-op,230000,1,1.0,2184.207862,Queens
1635,Condo,378888,1,1.0,718.0,Staten Island
1640,Condo,850000,1,1.0,626.0,Brooklyn
1651,Co-op,1895000,3,2.0,2184.207862,Brooklyn
1652,Condo,668000,2,2.0,2184.207862,Queens
1664,Condo,1695000,2,2.0,1117.0,Brooklyn
1665,Co-op,385000,2,1.0,2184.207862,Brooklyn
1667,Co-op,249999,2,1.0,750.0,Brooklyn
1670,Co-op,270000,1,1.0,2184.207862,Queens
1676,Co-op,329888,3,1.0,2184.207862,Queens
1677,Co-op,311000,1,1.0,780.0,Brooklyn
1678,Condo,649000,3,2.0,804.0,Brooklyn
1682,Co-op,305000,1,1.0,750.0,Brooklyn
1683,Co-op,599000,3,2.0,2184.207862,Queens
1688,Condo,699000,2,2.0,967.0,Queens
1699,Condo,369000,3,1.0,2184.207862,Brooklyn
1700,Co-op,299000,1,1.0,750.0,Brooklyn
1703,Co-op,279000,2,1.0,810.0,Queens
1713,Co-op,228888,1,1.0,900.0,Queens
1714,Co-op,199888,2,1.0,2184.207862,Queens
1718,Co-op,699000,2,1.0,1100.0,Brooklyn
1721,Co-op,538888,3,2.0,1500.0,Queens
1724,Co-op,275000,1,1.0,2184.207862,Queens
1726,Co-op,270000,3,1.0,275.0,Brooklyn
1730,Co-op,595000,3,2.0,2184.207862,Brooklyn
1732,Co-op,288000,2,1.0,2184.207862,Queens
1738,Condo,1475000,2,2.0,1048.0,Brooklyn
1756,Co-op,199000,1,1.0,2184.207862,Queens
1757,Co-op,239000,1,1.0,801.0,Queens
1765,Co-op,155000,3,1.0,2184.207862,Queens
1776,Condo,14995000,6,2.3738608579684373,8500.0,Brooklyn
1780,Condo,749000,1,2.0,879.0,Queens
1782,Townhouse,549999,3,2.0,1677.0,Staten Island
1784,Condo,695000,2,2.0,845.0,Brooklyn
1786,Condo,699000,3,2.0,1779.0,Brooklyn
1789,Condo,540000,3,2.0,2184.207862,Staten Island
1793,Co-op,569000,3,2.0,2184.207862,Queens
1797,Condo,199999,1,1.0,750.0,Brooklyn
1798,Condo,569000,1,1.0,490.0,Queens
1808,Co-op,1850000,5,3.0,3000.0,Queens
1809,Condo,435000,1,1.0,661.0,Queens
1824,Co-op,575000,3,2.0,1350.0,Queens
1829,Condo,798000,2,2.0,1190.0,Queens
1831,Condo,399000,1,1.0,616.0,Queens
1833,Condo,450000,1,1.0,776.0,Staten Island
1837,Co-op,399000,3,2.0,1492.0,Queens
1845,Condo,550000,1,1.0,720.0,Queens
1846,Co-op,549999,3,1.0,1020.0,Queens
1854,Condo,7995000,3,4.0,2789.0,Brooklyn
1855,Condo,480000,1,1.0,506.0,Brooklyn
1860,House,1759000,3,2.3738608579684373,2100.0,Brooklyn
1861,Co-op,499000,2,1.0,2184.207862,Brooklyn
1867,Co-op,1099000,2,1.0,2184.207862,Brooklyn
1872,Co-op,409000,2,1.0,2184.207862,Queens
1873,Condo,275000,2,2.0,969.0,Brooklyn
1884,Co-op,135000,1,1.0,792.0,Queens
1885,Co-op,468000,2,1.0,1200.0,Queens
1887,Co-op,318000,1,1.0,748.0,Queens
1888,Condo,649000,2,1.0,705.0,Queens
1907,Co-op,319999,1,1.0,660.0,Brooklyn
1908,Condo,999000,3,2.0,1301.0,Brooklyn
1909,Co-op,475000,1,1.0,950.0,Queens
1914,Co-op,225000,1,1.0,2184.207862,Queens
1915,Co-op,284888,1,1.0,2184.207862,Queens
1921,Co-op,295000,1,2.0,980.0,Queens
1925,Co-op,289000,1,1.0,750.0,Brooklyn
1930,Co-op,155000,1,1.0,2184.207862,Queens
1931,Co-op,689000,3,2.0,1500.0,Queens
1935,Co-op,260000,1,1.0,800.0,Brooklyn
1937,Condo,749000,1,2.0,908.0,Queens
1941,Condo,297000,3,1.0,600.0,Brooklyn
1947,Co-op,475000,2,2.0,1150.0,Brooklyn
1948,Co-op,209000,1,1.0,2184.207862,Brooklyn
1950,Co-op,259000,1,1.0,625.0,Brooklyn
1954,Condo,1088000,4,2.0,2184.207862,Queens
1958,Condo,1088000,4,2.0,2184.207862,Queens
1967,Co-op,188000,3,1.0,300.0,Brooklyn
1973,Condo,875000,2,2.0,1050.0,Brooklyn
1978,Co-op,525000,2,1.0,1300.0,Brooklyn
1979,Condo,715000,2,2.0,1021.0,Brooklyn
1986,Co-op,375000,1,1.0,2184.207862,Queens
1988,Co-op,750000,3,2.0,2184.207862,Queens
2003,Co-op,338000,1,1.0,2184.207862,Queens
2007,Co-op,339000,1,1.0,2184.207862,Queens
2016,Co-op,439900,2,1.0,1000.0,Queens
2018,Co-op,358000,2,1.0,2184.207862,Queens
2025,Co-op,650000,2,2.0,1200.0,Queens
2026,Co-op,589000,2,2.0,1100.0,Brooklyn
2035,Co-op,199000,1,1.0,2184.207862,Queens
2038,Co-op,239000,3,1.0,450.0,Brooklyn
2044,Co-op,439999,1,2.0,1215.0,Queens
2047,Townhouse,1895000,5,4.0,2400.0,Brooklyn
2048,Condo,759000,3,2.0,2184.207862,Queens
2051,Co-op,234900,1,1.0,753.0,Queens
2052,Co-op,675000,2,1.0,2184.207862,Queens
2057,Co-op,525000,2,1.0,1000.0,Brooklyn
2058,Co-op,385000,2,2.0,2184.207862,Queens
2059,Co-op,199000,1,1.0,2184.207862,Queens
2060,Co-op,670000,2,2.0,2184.207862,Queens
2063,Co-op,305000,2,1.0,600.0,Queens
2068,Co-op,279000,1,1.0,2184.207862,Queens
2071,Condo,750000,1,1.0,943.0,Brooklyn
2077,Co-op,175000,1,1.0,800.0,Brooklyn
2082,Condo,699000,2,2.0,1320.0,Queens
2085,Co-op,685000,1,1.0,2184.207862,Brooklyn
2088,Co-op,189000,1,1.0,2184.207862,Queens
2091,Condo,559000,1,1.0,830.0,Brooklyn
2093,Co-op,379000,2,1.0,1000.0,Brooklyn
2095,Co-op,599000,2,2.0,1200.0,Brooklyn
2098,Multi-family,875000,9,6.0,5712.0,Brooklyn
2102,Condo,1530000,2,2.0,1229.0,Brooklyn
2108,Co-op,575000,2,2.0,2184.207862,Queens
2111,Co-op,309000,1,2.0,1074.0,Queens
2116,Condo,399000,1,1.0,561.0,Brooklyn
2118,Co-op,225000,1,1.0,2184.207862,Queens
2120,Condo,164999,3,1.0,400.0,Staten Island
2122,Co-op,235000,1,1.0,2184.207862,Queens
2125,Co-op,565000,2,1.0,2184.207862,Brooklyn
2127,Co-op,1200000,2,2.0,1100.0,Brooklyn
2144,Co-op,255000,1,1.0,650.0,Queens
2149,Co-op,569000,2,2.0,2184.207862,Queens
2151,Co-op,398000,3,1.0,2184.207862,Queens
2159,Co-op,359000,2,1.0,2184.207862,Queens
2160,Co-op,725000,2,2.0,2184.207862,Queens
2161,Co-op,575000,2,1.0,2184.207862,Queens
2164,Co-op,239000,1,1.0,2184.207862,Queens
2168,Co-op,219000,3,1.0,550.0,Brooklyn
2176,Co-op,425000,3,2.0,1300.0,Queens
2178,Co-op,279999,1,1.0,790.0,Brooklyn
2180,Condo,980000,3,3.0,1574.0,Brooklyn
2184,Multi-family,1299999,7,5.0,2184.207862,Brooklyn
2189,Co-op,309000,1,1.0,850.0,Queens
2193,Condo,950000,3,2.0,1401.0,Brooklyn
2197,Condo,1390000,4,3.0,1950.0,Brooklyn
2201,Co-op,529000,2,2.0,1200.0,Queens
2211,Co-op,199900,3,1.0,550.0,Queens
2216,Co-op,399990,2,1.0,1000.0,Queens
2219,Co-op,199900,3,1.0,550.0,Queens
2221,Condo,16995000,4,4.0,3310.0,Manhattan
2225,Condo,690000,2,2.0,942.0,Brooklyn
2226,Co-op,185000,2,1.0,854.0,Brooklyn
2229,Condo,780000,2,2.0,955.0,Queens
2245,Condo,1150000,2,2.0,1850.0,Queens
2254,Co-op,475000,1,1.0,750.0,Brooklyn
2256,Co-op,325000,3,1.0,1200.0,Brooklyn
2266,Condo,1250000,2,2.0,1257.0,Queens
2276,Condo,1595000,3,2.0,1375.0,Brooklyn
2280,Condo,1338000,3,2.0,2082.0,Staten Island
2284,Co-op,349000,2,1.0,800.0,Brooklyn
2288,Condo,370000,3,1.0,462.0,Brooklyn
2297,Co-op,239000,1,1.0,700.0,Brooklyn
2300,Co-op,567000,3,2.0,2184.207862,Queens
2302,Co-op,189000,3,1.0,2184.207862,Queens
2306,Condo,1439000,4,2.0,1625.0,Brooklyn
2307,Co-op,379000,2,1.0,900.0,Queens
2309,Condo,1439000,4,2.0,1625.0,Brooklyn
2321,Condo,450000,1,1.0,724.0,Brooklyn
2324,Condo,349980,3,1.0,2184.207862,Queens
2328,Co-op,189999,1,1.0,2184.207862,Queens
2329,Co-op,189999,1,1.0,2184.207862,Queens
2331,Condo,349980,3,1.0,2184.207862,Queens
2337,Co-op,399000,1,1.0,2184.207862,Queens
2343,Condo,2099000,2,2.0,1447.0,Brooklyn
2345,Multi-family,1999999,12,6.0,2184.207862,Brooklyn
2352,Co-op,299000,1,1.0,850.0,Queens
2355,Co-op,449000,1,2.0,1213.0,Queens
2356,Condo,1250000,3,2.0,1287.0,Brooklyn
2358,Co-op,315000,1,1.0,2184.207862,Queens
2359,Co-op,499000,2,1.0,900.0,Brooklyn
2361,Condo,625000,4,2.0,1268.0,Brooklyn
2364,Co-op,1495000,3,1.0,2184.207862,Brooklyn
2366,Condo,625000,4,2.0,1268.0,Brooklyn
2371,Condo,1198000,1,2.0,2184.207862,Queens
2380,Co-op,269000,1,1.0,2184.207862,Queens
2384,Co-op,279000,1,1.0,600.0,Brooklyn
2387,Condo,560000,3,1.0,622.0,Brooklyn
2391,Condo,735000,2,2.0,832.0,Brooklyn
2392,Multi-family,1399000,13,5.0,2184.207862,Brooklyn
2403,Condo,618000,3,2.0,2184.207862,Brooklyn
2409,Co-op,399000,2,1.0,1090.0,Queens
2413,Condo,239500,1,1.0,864.0,Staten Island
2420,Co-op,599000,2,2.0,2184.207862,Queens
2424,Co-op,459000,1,1.0,2184.207862,Brooklyn
2426,Condo,745000,2,2.0,2184.207862,Brooklyn
2427,Co-op,440000,2,1.0,2184.207862,Queens
2436,Condo,350000,1,1.0,738.0,Staten Island
2448,Co-op,189900,1,1.0,600.0,Brooklyn
2456,Co-op,229000,1,1.0,650.0,Brooklyn
2459,Co-op,850000,2,2.0,2184.207862,Brooklyn
2463,Condo,830000,2,2.0,2184.207862,Queens
2469,Condo,499000,2,1.0,825.0,Brooklyn
2470,Condo,450000,2,1.0,1249.0,Queens
2475,Co-op,940000,3,2.0,2184.207862,Queens
2476,Condo,539000,2,2.0,821.0,Brooklyn
2480,Condo,2550000,3,2.0,2400.0,Brooklyn
2491,Co-op,370000,2,1.0,800.0,Brooklyn
2494,Co-op,289000,1,1.0,520.0,Brooklyn
2502,Condo,340000,1,1.0,850.0,Brooklyn
2504,Co-op,199999,1,1.0,550.0,Brooklyn
2506,Co-op,799000,2,2.0,1043.0,Brooklyn
2514,Condo,593000,2,2.0,1312.0,Staten Island
2519,Co-op,379000,2,1.0,2184.207862,Queens
2520,Co-op,299000,1,1.0,800.0,Queens
2526,Condo,579000,2,2.0,750.0,Queens
2528,Co-op,579000,2,1.0,2184.207862,Queens
2541,Co-op,564900,1,1.0,769.0,Brooklyn
2548,Co-op,279999,2,1.0,666.0,Brooklyn
2549,Co-op,418000,2,1.0,2184.207862,Queens
2554,Co-op,258000,1,1.0,650.0,Brooklyn
2555,Condo,700000,2,2.0,1124.0,Queens
2563,Co-op,375000,1,1.0,1185.0,Staten Island
2564,Multi-family,2700000,24,24.0,18936.0,Brooklyn
2567,Co-op,285000,1,1.0,900.0,Brooklyn
2569,Condo,674999,3,1.0,1299.0,Staten Island
2572,Condo,995000,2,2.0,1030.0,Brooklyn
2573,Co-op,229000,1,1.0,2184.207862,Brooklyn
2577,Co-op,225000,1,1.0,2184.207862,Queens
2590,Condo,450000,3,1.0,494.0,Brooklyn
2597,Co-op,198000,1,1.0,2184.207862,Queens
2602,Condo,499000,1,1.0,845.0,Brooklyn
2603,Co-op,204888,3,1.0,2184.207862,Queens
2612,Condo,420000,2,1.0,840.0,Staten Island
2615,Co-op,268000,1,1.0,850.0,Queens
2624,Co-op,213000,3,1.0,430.0,Brooklyn
2628,Co-op,649000,2,2.0,1500.0,Queens
2629,Co-op,439000,2,1.0,900.0,Queens
2632,Co-op,349999,1,1.0,2184.207862,Queens
2637,Co-op,1150000,1,1.0,984.0,Brooklyn
2640,Co-op,318888,1,1.0,875.0,Queens
2641,Co-op,799000,2,2.0,1549.0,Queens
2642,Co-op,489000,2,1.0,950.0,Brooklyn
2643,Co-op,398000,2,1.0,900.0,Brooklyn
2647,Condo,899999,3,3.0,1750.0,Queens
2650,Condo,899999,3,3.0,1750.0,Queens
